"X","Y","DateTime"
"1095.0","474.8","291967105263"
"1081.8","468.5","291967113633"
"1083.2","484.4","291967121997"
"1078.8","486.7","291967130226"
"1088.6","492.8","291967138564"
"1064.7","461.7","291967146985"
"1086.9","491.7","291967155168"
"1085.3","491.3","291967164916"
"1090.4","489.4","291967171953"
"1096.9","479.6","291967180252"
"1105.2","516.2","291967196991"
"1109.4","522.4","291967205224"
"1109.2","496.4","291967213515"
"1106.8","487.0","291967222043"
"1108.1","492.7","291967230269"
"1087.9","485.5","291967238618"
"1090.7","489.3","291967246820"
"1066.6","478.9","291967255270"
"1099.0","480.8","291967263582"
"1092.3","486.8","291967271954"
"1094.5","494.0","291967280355"
"1077.2","500.5","291967288570"
"1104.6","518.2","291967297016"
"1098.2","510.1","291967305215"
"1098.2","507.6","291967313660"
"1074.2","486.4","291967321831"
"1082.3","492.7","291967330288"
"1096.1","501.8","291967338562"
"1099.3","498.1","291967346914"
"1092.6","508.0","291967355285"
"1102.3","455.5","291967363608"
"1078.2","490.5","291967371952"
"1087.6","474.1","291967380337"
"1069.1","472.3","291967388494"
"1084.0","477.0","291967396900"
"1065.6","465.7","291967405220"
"1065.3","460.7","291967413458"
"1068.8","466.1","291967422096"
"1076.8","479.2","291967430263"
"1089.5","502.4","291967438543"
"1088.0","492.2","291967446873"
"1092.1","486.6","291967455353"
"1081.8","471.4","291967463623"
"1096.1","456.4","291967471758"
"1060.9","472.0","291967480355"
"1060.0","477.4","291967488736"
"1060.0","477.4","291967496765"
"1085.3","479.6","291967505253"
"1094.6","511.0","291967513489"
"1099.2","620.1","291967521780"
"1099.2","620.2","291967530292"
"1069.8","706.5","291967538562"
"1075.1","697.0","291967546770"
"1096.4","697.7","291967555100"
"1102.8","698.0","291967563659"
"1109.8","674.5","291967571895"
"1086.1","658.3","291967580207"
"1093.1","662.9","291967588553"
"1085.9","697.2","291967596910"
"1093.7","698.4","291967605273"
"1093.1","673.8","291967613607"
"1105.1","640.5","291967621876"
"1095.7","639.1","291967630327"
"1088.4","638.8","291967638520"
"1100.8","672.0","291967646851"
"1102.5","679.5","291967655052"
"1098.1","676.9","291967663570"
"1078.0","661.7","291967671770"
"1078.9","669.9","291967680193"
"1082.5","641.7","291967688585"
